DATE,CATEGORY,DESCRIPTION, AMOUNT ,BRANCH,,,
1/1/2023,SALE,LONG_TERM_STORAGE_DOMINIK_MOREY, $629.53 ,CHARLOTTESVILLE,,,
1/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_9MO," $(8,100.00)",CHARLOTTESVILLE,,,
1/1/2023,SALE,SHIPPING_SIBLEY_ARNAEZ, $968.38 ,BLACKSBURG,,,
1/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_9MO," $(11,475.00)",BLACKSBURG,,,
1/1/2023,SALE,SUMMER_STORAGE_AYLMER_MORRISH, $513.73 ,WILLIAMSBURG,,,
1/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_9MO," $(2,700.00)",WILLIAMSBURG,,,
1/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_9MO," $(1,350.00)",RICHMOND,,,
1/1/2023,STORAGE_UNIT_RENTAL,STORAGE_UNIT_RENTAL_9MO, $(675.00),LEXINGTON,,,
1/3/2023,SALE,SUMMER_STORAGE_CURTIS_BERZEN, $305.54 ,CHARLOTTESVILLE,,,
1/3/2023,SALE,SUMMER_STORAGE_ASHIA_DESESQUELLE, $800.75 ,BLACKSBURG,,,
1/3/2023,SALE,SHIPPING_KRYSTLE_CRENNAN, $538.21 ,BLACKSBURG,,,
1/3/2023,SALE,SUMMER_STORAGE_HAZEL_BLUNN, $824.26 ,BLACKSBURG,,,
1/3/2023,SALE,SUMMER_STORAGE_MONTGOMERY_DE_MATTIA, $778.66 ,RICHMOND,,,
1/4/2023,SALE,SUMMER_STORAGE_GISELLA_MATTES, $736.07 ,BLACKSBURG,,,
1/4/2023,SALE,LONG_TERM_STORAGE_MICHAELINE_SANTARELLI, $980.33 ,BLACKSBURG,,,
1/6/2023,SALE,SUMMER_STORAGE_DESIRI_RIGTS, $338.85 ,BLACKSBURG,,,
1/7/2023,SALE,SUMMER_STORAGE_DESIRAE_HALLATT, $482.13 ,CHARLOTTESVILLE,,,
1/7/2023,SALE,SUMMER_STORAGE_LORETTALORNA_FEENAN, $312.78 ,WILLIAMSBURG,,,
1/11/2023,SALE,SUMMER_STORAGE_JUDITH_ZANIOLETTI, $925.57 ,BLACKSBURG,,,
1/11/2023,SALE,SUMMER_STORAGE_ROZELLE_TITTLETROSS, $720.94 ,WILLIAMSBURG,,,
1/12/2023,SALE,LONG_TERM_STORAGE_BOBBIE_DENLEY, $729.99 ,BLACKSBURG,,,
1/13/2023,SALE,LONG_TERM_STORAGE_WANG_HABGOOD, $769.72 ,CHARLOTTESVILLE,,,
1/13/2023,SALE,SUMMER_STORAGE_TUCKY_LILLIMAN, $963.66 ,BLACKSBURG,,,
1/13/2023,SALE,SUMMER_STORAGE_DELMORE_FARMER, $816.04 ,BLACKSBURG,,,
1/13/2023,SALE,LONG_TERM_STORAGE_GRANTHAM_MOWEN, $324.47 ,WILLIAMSBURG,,,
1/15/2023,SALE,SUMMER_STORAGE_KER_MATYUSHENKO, $828.32 ,BLACKSBURG,,,
1/18/2023,SALE,LONG_TERM_STORAGE_FARRAH_ALLWRIGHT, $281.39 ,LEXINGTON,,,
1/20/2023,SALE,LONG_TERM_STORAGE_SHAYNE_SWATTON, $302.29 ,BLACKSBURG,,,
1/21/2023,SALE,SUMMER_STORAGE_CLAUDELL_TURMEL, $698.34 ,BLACKSBURG,,,
1/25/2023,SALE,SUMMER_STORAGE_TORR_EWBACH, $828.26 ,BLACKSBURG,,,
1/26/2023,SALE,LONG_TERM_STORAGE_CLYVE_SEMARK, $464.07 ,CHARLOTTESVILLE,,,
1/27/2023,SALE,SUMMER_STORAGE_LIVVIE_CHUGG, $418.17 ,CHARLOTTESVILLE,,,
1/28/2023,SALE,SUMMER_STORAGE_BETHINA_ODEGAARD, $137.41 ,CHARLOTTESVILLE,,,
1/28/2023,SALE,SUMMER_STORAGE_SIBYL_RIGGOLL, $144.60 ,CHARLOTTESVILLE,,,
1/30/2023,SALE,SUMMER_STORAGE_SAUVEUR_MAYSTONE, $651.41 ,CHARLOTTESVILLE,,,
1/30/2023,SALE,SHIPPING_MERILL_DELANY, $656.08 ,BLACKSBURG,,,
2/2/2023,SALE,SUMMER_STORAGE_KILLIE_GALPIN, $191.38 ,CHARLOTTESVILLE,,,
2/2/2023,SALE,LONG_TERM_STORAGE_FAYE_NOWACZYK, $640.30 ,BLACKSBURG,,,
2/2/2023,SALE,SUMMER_STORAGE_RONNICA_LIVENS, $889.57 ,BLACKSBURG,,,
2/2/2023,SALE,SUMMER_STORAGE_PEYTON_CRUMMAY, $550.58 ,BLACKSBURG,,,
2/2/2023,SALE,SUMMER_STORAGE_ALYSS_OKELL, $438.31 ,BLACKSBURG,,,
2/4/2023,SALE,SUMMER_STORAGE_PARRY_LARCHER, $729.20 ,BLACKSBURG,,,
2/5/2023,SALE,LONG_TERM_STORAGE_CECILIUS_TANSWELL, $235.64 ,CHARLOTTESVILLE,,,
2/6/2023,SALE,LONG_TERM_STORAGE_MONIKA_EOUZAN, $146.90 ,CHARLOTTESVILLE,,,
2/6/2023,SALE,SUMMER_STORAGE_EDDIE_BOCK, $845.03 ,BLACKSBURG,,,
2/6/2023,SALE,SUMMER_STORAGE_FAX_BENZIE, $375.52 ,BLACKSBURG,,,
2/6/2023,SALE,SUMMER_STORAGE_GEORGIANA_HOWFORD, $704.43 ,WILLIAMSBURG,,,
2/9/2023,SALE,LONG_TERM_STORAGE_AMANDA_DIGBY, $393.24 ,BLACKSBURG,,,
2/10/2023,SALE,SUMMER_STORAGE_GEORGIE_TWEDE, $590.43 ,CHARLOTTESVILLE,,,
2/10/2023,SALE,LONG_TERM_STORAGE_TEDDY_LEICESTER, $713.87 ,CHARLOTTESVILLE,,,
2/10/2023,SALE,SUMMER_STORAGE_ELIA_LANON, $405.15 ,BLACKSBURG,,,
2/11/2023,SALE,SUMMER_STORAGE_BARTOLOMEO_GUYOT, $353.07 ,CHARLOTTESVILLE,,,
2/13/2023,SALE,LONG_TERM_STORAGE_FAIRLEIGH_KOOPMAN, $122.78 ,CHARLOTTESVILLE,,,
2/13/2023,SALE,SUMMER_STORAGE_MAURISE_YUROV, $382.68 ,CHARLOTTESVILLE,,,
2/13/2023,SALE,SUMMER_STORAGE_PIP_ROOME, $230.66 ,WILLIAMSBURG,,,
2/15/2023,SALE,SUMMER_STORAGE_GIANINA_PEPLAW, $792.43 ,WILLIAMSBURG,,,
2/16/2023,SALE,SUMMER_STORAGE_CORALYN_ESSERY, $537.05 ,BLACKSBURG,,,
2/16/2023,SALE,SUMMER_STORAGE_BLANCHE_DODLE, $336.92 ,BLACKSBURG,,,
2/16/2023,SALE,LONG_TERM_STORAGE_FRANCENE_DAVLEY, $170.88 ,WILLIAMSBURG,,,
2/17/2023,SALE,SHIPPING_NANANNE_TEBBETT, $219.95 ,CHARLOTTESVILLE,,,
2/18/2023,SALE,SHIPPING_TOME_FISHPOND, $713.55 ,BLACKSBURG,,,
2/18/2023,SALE,LONG_TERM_STORAGE_DEDRA_HUGILL, $639.27 ,BLACKSBURG,,,
2/20/2023,SALE,SUMMER_STORAGE_HOGAN_RAGLESS, $796.97 ,BLACKSBURG,,,
2/23/2023,SALE,SUMMER_STORAGE_SHEPARD_CAMUS, $836.92 ,CHARLOTTESVILLE,,,
2/24/2023,SALE,SUMMER_STORAGE_TRAVER_LOWE, $482.18 ,CHARLOTTESVILLE,,,
2/27/2023,SALE,SUMMER_STORAGE_FERNANDE_ETTERIDGE, $932.10 ,BLACKSBURG,,,
2/28/2023,SALE,SUMMER_STORAGE_KINGSTON_BUGLASS, $242.97 ,BLACKSBURG,,,
3/2/2023,SALE,SUMMER_STORAGE_SILEAS_OSBURN, $938.10 ,BLACKSBURG,,,
3/2/2023,SALE,SUMMER_STORAGE_MALACHI_OLLANDER, $438.47 ,WILLIAMSBURG,,,
3/3/2023,SALE,SUMMER_STORAGE_NATAL_BEAGEN, $614.27 ,BLACKSBURG,,,
3/3/2023,SALE,SUMMER_STORAGE_MILLICENT_VERNAZZA, $280.35 ,WILLIAMSBURG,,,
3/6/2023,SALE,LONG_TERM_STORAGE_LAVENA_KENNERLEY, $227.13 ,BLACKSBURG,,,
3/8/2023,SALE,LONG_TERM_STORAGE_RAFA_HUMBEE, $945.36 ,WILLIAMSBURG,,,
3/9/2023,SALE,LONG_TERM_STORAGE_MALISSIA_CHESSWAS, $883.58 ,WILLIAMSBURG,,,
3/10/2023,SALE,SUMMER_STORAGE_ARLEE_DREWRY, $788.61 ,CHARLOTTESVILLE,,,
3/11/2023,SALE,SHIPPING_MONIKA_WIKE, $760.49 ,CHARLOTTESVILLE,,,
3/11/2023,SALE,SUMMER_STORAGE_TALLOU_FALLA, $597.81 ,BLACKSBURG,,,
3/11/2023,SALE,SHIPPING_BRADLY_VERNER, $180.71 ,RICHMOND,,,
3/12/2023,SALE,SUMMER_STORAGE_MIRELLA_SHUTLER, $847.58 ,BLACKSBURG,,,
3/13/2023,SALE,SUMMER_STORAGE_WINN_SIMON, $173.01 ,BLACKSBURG,,,
3/14/2023,SALE,SUMMER_STORAGE_MAC_RIZZETTI, $471.27 ,BLACKSBURG,,,
